customer_id,country,segment,signup_date
1,Spain,Small Business,2023-11-26
2,Italy,Consumer,2024-05-22
3,France,Consumer,2023-03-10
4,Spain,Small Business,2024-06-29
5,Spain,Consumer,2023-02-22
6,Italy,Small Business,2024-03-25
7,France,Corporate,2023-07-24
8,France,Consumer,2023-05-06
9,Spain,Corporate,2023-02-12
10,Germany,Small Business,2023-04-21
11,Spain,Corporate,2024-10-24
12,Spain,Corporate,2023-07-02
13,Spain,Small Business,2023-04-05
14,Spain,Corporate,2024-01-09
15,Italy,Corporate,2024-06-03
16,France,Small Business,2023-12-26
17,Italy,Corporate,2024-11-26
18,Italy,Small Business,2023-10-08
19,Italy,Corporate,2023-07-14
20,Spain,Small Business,2023-07-14
21,Germany,Small Business,2024-10-28
22,France,Corporate,2023-04-03
23,Germany,Corporate,2024-11-02
24,Italy,Corporate,2023-03-02
25,Italy,Consumer,2024-09-25
26,Germany,Consumer,2023-02-20
27,Germany,Consumer,2024-02-07
28,Germany,Small Business,2023-01-05
29,Italy,Corporate,2024-04-10
30,Italy,Small Business,2024-08-26
31,France,Consumer,2024-11-12
32,France,Corporate,2024-06-17
33,Italy,Small Business,2024-02-09
34,Germany,Corporate,2024-05-27
35,Germany,Small Business,2024-10-06
36,France,Corporate,2023-08-21
37,Italy,Consumer,2024-06-07
38,France,Consumer,2023-12-12
39,France,Corporate,2023-02-15
40,Spain,Small Business,2024-06-29
41,Spain,Consumer,2023-03-19
42,Spain,Consumer,2023-03-14
43,Germany,Consumer,2023-09-06
44,Italy,Corporate,2023-02-16
45,Italy,Corporate,2023-05-01
46,,Small Business,2023-08-02
47,Italy,Small Business,2023-08-27
48,Spain,Small Business,2023-02-25
49,Germany,Corporate,2023-12-16
50,Germany,Corporate,2023-04-17
51,Spain,Small Business,2023-02-17
52,Germany,Small Business,2024-07-26
53,Spain,Corporate,2023-12-03
54,Italy,Small Business,2023-01-26
55,Spain,Consumer,2023-09-14
56,Italy,Corporate,2023-01-08
57,Italy,Small Business,2024-09-16
58,France,Corporate,2023-09-10
59,Spain,Consumer,2024-11-22
60,France,Corporate,2023-10-30
61,Spain,Corporate,2024-09-30
62,Spain,Corporate,2023-02-25
63,France,Corporate,2024-06-09
64,,Consumer,2024-04-18
65,Spain,Corporate,2023-01-28
66,Germany,Corporate,2023-03-19
67,Italy,Small Business,2023-08-04
68,France,Corporate,2024-01-21
69,Italy,Small Business,2023-12-31
70,Germany,Consumer,2024-10-27
71,Germany,Consumer,2024-06-09
72,Germany,Consumer,2024-11-29
73,France,Consumer,2023-11-08
74,Germany,Small Business,2023-01-07
75,France,Corporate,2023-01-03
76,Germany,Consumer,2024-09-14
77,Italy,Corporate,2023-12-29
78,Italy,Small Business,2024-05-22
79,Spain,Small Business,2023-10-01
80,Italy,Small Business,2024-05-20
81,Spain,Consumer,2023-01-15
82,Italy,Corporate,2023-07-11
83,France,Corporate,2024-09-22
84,Italy,Corporate,2024-04-29
85,Spain,Small Business,2023-01-28
86,Spain,Consumer,2023-02-08
87,Germany,Small Business,2023-09-30
88,France,Small Business,2023-08-19
89,Italy,Corporate,2023-03-27
90,Germany,Small Business,2024-04-18
91,Italy,Corporate,2023-05-06
92,Italy,Consumer,2024-06-20
93,Germany,Corporate,2023-05-25
94,Germany,Consumer,2024-06-08
95,Germany,Corporate,2023-07-31
96,Germany,Small Business,2023-01-25
97,Germany,Small Business,2024-08-02
98,,Consumer,2024-01-29
99,Germany,Consumer,2023-03-08
100,France,Consumer,2023-08-21
